split,people_group,rows,mae,rmse,r2
train,all_rows,44030,0.27067223448697786,0.4131182762412091,0.8482410884365087
train,no_person_detected,30247,0.21359063451861776,0.3355564939050509,0.8854679327859538
train,person_detected,13783,0.3959386608268885,0.5459844431628109,0.7278364606460604
train,person_within_1m,512,0.41764486442601634,0.5950788442268247,0.7818529539488706
train,person_within_2m,2164,0.45735430275752237,0.6322211464231354,0.7140926270243989
train,person_within_3m,4416,0.4328993869714365,0.5967452648310579,0.7155567503685212
valid,all_rows,6323,0.346884454745383,0.5040524942813147,0.6533494426096671
valid,no_person_detected,4314,0.3236376586192393,0.47052020554936475,0.6762247018158533
valid,person_detected,2009,0.3968031598166541,0.5694235197409699,0.5769120565795969
valid,person_within_1m,91,0.45993369096396236,0.6928910472300207,0.5143616898114484
valid,person_within_2m,445,0.38984558862309093,0.6032906378006965,0.7264148747038285
valid,person_within_3m,777,0.40026595045550606,0.5962082430410245,0.6314724730147458
test,all_rows,9257,0.43826431434186597,0.6456893125048239,0.7170105652444937
test,no_person_detected,4815,0.37703687216659154,0.5842367152599182,0.7192756939183842
test,person_detected,4442,0.5046330973391525,0.7062885809962953,0.6911495302043871
test,person_within_1m,288,0.657941910862315,0.9207235232658851,0.6607468363424296
test,person_within_2m,1000,0.5654912972874272,0.7920144393491394,0.7120752321808501
test,person_within_3m,1806,0.5403874295466878,0.7639658393935006,0.7014718721550222
